,model,unweighted_mean,class_mean,FoldingChair,Kettle,Laptop,Microwave,Refrigerator,Stapler,StorageFurniture,Switch,Toilet,TrashCan,Window
cos_dist,flowbot1,0.9599157925137503,0.94810828132371,0.9113706685602665,0.9652709333520186,0.9745666279512293,0.9306357428431511,0.9561166402065393,0.91040539040285,0.9708519037952996,0.9765764325857162,0.9530159044265747,0.872782975435257,0.995790363811865
cos_dist,diffuser1,0.9698160497430793,0.9543885642792334,0.9793968610465527,0.9015481699454156,0.9833719958277309,0.9519290551543236,0.9754670190088677,0.9440921755398021,0.9838064053004846,0.9205719381570816,0.973563015460968,0.8916058899725184,0.9774941961939742
rmse,flowbot1,0.0814344445801156,0.09764272490402671,0.0878407007548958,0.1441640131371586,0.06193189974874258,0.0788503848016262,0.07037559546756023,0.08340190789278816,0.07052459689977586,0.18167746905237436,0.10347298488020897,0.1645713426063166,0.04346735902675768
rmse,diffuser1,0.04170823472569661,0.0559927728734787,0.036374261835590005,0.13337317046611324,0.03403299537432544,0.046517590526491404,0.04036828384480693,0.03235710976535783,0.027295736281316783,0.08134788554161787,0.04630031026899815,0.13463455032529859,0.01760314552613148
mag_error,flowbot1,0.06577383003061908,0.07972217429800173,0.059986000414937735,0.13155505629746536,0.041355331483132696,0.0664377510547638,0.052315725860270584,0.06034584924140397,0.05757587192110941,0.16577942110598087,0.08509940467774868,0.13621902087812915,0.03422282861045948
mag_error,diffuser1,0.029174252294497872,0.04070693645994915,0.025834488100372255,0.12908420817142255,0.01760274837450946,0.03407133382279426,0.024428990217998173,0.018594104796648026,0.019626876901743105,0.06525641097687185,0.03773333270102739,0.07132027688545778,0.015756214276047016
